"Story","Title","Result","Date","Stability","Duration (s)"
"Autenticacion en la pàgina de inicio de sesion en Trinity","Verificar la autenticaciòn exitosa en la pàgina de Trinity","PENDING","2025-11-19T16:35:23.8401739-05:00[America/Bogota]","0.0","10.78"
"Autenticacion en la pagina de inicio de sesion en Trinity","Verificar la autenticacion exitosa en la pagina de Trinity","FAILURE","2025-12-02T19:23:56.4599432-05:00[America/Bogota]","0.0","15.69"
