"Story","Title","Result","Date","Stability","Duration (s)"
"Creación de categorías en Trinity","Crear una nueva categoría en el sistema Trinity","SUCCESS","2025-12-03T19:50:20.9626772-05:00[America/Bogota]","0.0","31.73"
"Edición de categorías en Trinity","Editar una categoría existente en el sistema Trinity","SUCCESS","2025-12-03T19:50:58.2446356-05:00[America/Bogota]","0.0","15.36"
"Eliminación de categorías en Trinity","Eliminar una categoría existente en el sistema Trinity","SUCCESS","2025-12-03T19:51:19.4963461-05:00[America/Bogota]","0.0","31.65"
"Autenticacion en la pàgina de inicio de sesion en Trinity","Verificar la autenticaciòn exitosa en la pàgina de Trinity","PENDING","2025-11-19T16:35:23.8401739-05:00[America/Bogota]","0.0","10.78"
"Autenticacion en la pagina de inicio de sesion en Trinity","Verificar la autenticacion exitosa en la pagina de Trinity","FAILURE","2025-12-02T19:23:56.4599432-05:00[America/Bogota]","0.0","15.69"
